District,City,Area,LocationType,SyncId,Active
SOLAPUR,KURDUWADI,KURDUWADI,AREA,A000002014,1
OSMANABAD,LOHARA,LOHARA,AREA,A000002015,1
BULDHANA,LONAR,LONAR,AREA,A000002016,1
GOA,LOUTOLIM,LOUTOLIM,AREA,A000002017,1
MUMBAI,LOWER PAREL,LOWER PAREL WEST,AREA,A000002018,1
SOLAPUR,MADHA,MADHA,AREA,A000002019,1
YAWATMAL,MAHAGAON,MAHAGAON,AREA,A000002020,1
MUMBAI,MAHALAKSHMI,MAHALAKSHMI EAST,AREA,A000002021,1
NASHIK,NASHIK,MAHATMANAGAR,AREA,A000002022,1
MUMBAI,MAHIM,MAHIM WEST,AREA,A000002023,1
GONDIA,AMGAON,MAIN MARKET AMGAON,AREA,A000002024,1
CHANDRAPUR,BALLARSHAHA,MAIN MARKET BALLARSHAHA,AREA,A000002025,1
GONDIA,DEVARI,MAIN MARKET DEVARI,AREA,A000002026,1
CHANDRAPUR,GADCHANDUR,MAIN MARKET GADCHANDUR,AREA,A000002027,1
CHANDRAPUR,RAJURA,MAIN MARKET RAJURA,AREA,A000002028,1
GONDIA,TIRODA,MAIN MARKET TIRODA,AREA,A000002029,1
GONDIA,TUMSAR,MAIN MARKET TUMSAR,AREA,A000002030,1
CHANDRAPUR,WADSA,MAIN MARKET WADSA,AREA,A000002031,1
NASHIK,NASHIK,MAKHBALABAD GAON,AREA,A000002032,1
NASHIK,NASHIK,MAKHBALBAD NAKA,AREA,A000002033,1
MUMBAI,MALAD,MALAD EAST,AREA,A000002034,1
MUMBAI,MALAD,MALAD WEST,AREA,A000002035,1
SATARA,KARAD,MALHARPETH,AREA,A000002036,1
SOLAPUR,MALSHIRAS,MALSHIRAS,AREA,A000002037,1
SOLAPUR,MANGALVEDH,MANGALVEDH,AREA,A000002038,1
WASHIM,MANGURL PIR,MANGURL PIR,AREA,A000002039,1
WASHIM,MANORA,MANORA,AREA,A000002040,1
GOA,MAPUSA,MAPUSA,AREA,A000002041,1
GOA,MARCEL,MARCEL,AREA,A000002042,1
YAWATMAL,MAREGAON,MAREGAON,AREA,A000002043,1
GOA,MARGAO,MARGAO,AREA,A000002044,1
MUMBAI,MASJID ,MASJID EAST,AREA,A000002045,1
MUMBAI,MASJID ,MASJID WEST,AREA,A000002046,1
MUMBAI,MATUNGA,MATUNGA EAST,AREA,A000002047,1
MUMBAI,MATUNGA,MATUNGA WEST,AREA,A000002048,1
NASHIK,NASHIK,MEDICALCOLLEGE,AREA,A000002049,1
BULDHANA,MEHAKAR,MEHAKAR,AREA,A000002050,1
NASHIK,NASHIK,MERI,AREA,A000002051,1
NASHIK,NASHIK,MHASRUL,AREA,A000002052,1
RATNAGIRI,RATNAGIRI,MIDC,AREA,A000002053,1
THANE,MIRA ROAD,MIRA ROAD EAST,AREA,A000002054,1
NASHIK,NASHIK,MODEL COLLONY,AREA,A000002055,1
SOLAPUR,MOHOL,MOHOL,AREA,A000002056,1
AMRAVTI,MORSHI,MORSHI,AREA,A000002057,1
BULDHANA,MOTALA,MOTALA,AREA,A000002058,1
KOLHAPUR,GARGOTI,MUDHALTITTA,AREA,A000002059,1
MUMBAI,MUMBAI CENTRAL,MUMBAI CENTRAL WEST,AREA,A000002060,1
NASHIK,NASHIK,MUMBAI NAKA,AREA,A000002061,1
KOLHAPUR,MURGUD,MURGUD,AREA,A000002062,1
AKOLA,MURTIJAPUR,MURTIJAPUR,AREA,A000002063,1
KOLHAPUR,KOLHAPUR,NAGALA PARK,AREA,A000002064,1
CHANDRAPUR,CHANDRAPUR,"NAGPUR ROAD, PADOLI, MUL ROAD",AREA,A000002065,1
PALGHAR,NAIGOAN,NAIGOAN EAST,AREA,A000002066,1
PALGHAR,NALLASOPARA,NALLASOPARA EAST,AREA,A000002067,1
PALGHAR,NALLASOPARA,NALLASOPARA WEST,AREA,A000002068,1
AMRAVTI,NANDGAON KHANDESWAR,NANDGAON KHANDESWAR,AREA,A000002069,1
BULDHANA,NANDURA,NANDURA,AREA,A000002070,1
NASHIK,NASHIK,NANDURNAKA,AREA,A000002071,1
