State,District,LocationType,SyncId,Active
Gujarat,BHARUCH,DISTRICT,,1
Gujarat,BHAVNAGAR,DISTRICT,,1
Gujarat,BOTAD,DISTRICT,,1
Gujarat,CHHOTA UDAIPUR,DISTRICT,,1
Gujarat,DAHOD,DISTRICT,,1
Gujarat,DANG,DISTRICT,,1
Gujarat,GANDHINAGAR,DISTRICT,,1
Gujarat,JAMNAGAR,DISTRICT,,1
Gujarat,JUNAGADH,DISTRICT,,1
Gujarat,KHAMBHALIA,DISTRICT,,1
Gujarat,KHEDA,DISTRICT,,1
Gujarat,KUTCH,DISTRICT,,1
Gujarat,MAHISAGAR,DISTRICT,,1
Gujarat,MEHSANA,DISTRICT,,1
Gujarat,MORBI,DISTRICT,,1
Gujarat,NARMADA,DISTRICT,,1
Gujarat,NAVSARI,DISTRICT,,1
Gujarat,PANCHMAHAL,DISTRICT,,1
Gujarat,PATAN,DISTRICT,,1
Gujarat,PORBANDAR,DISTRICT,,1
Gujarat,RAJKOT,DISTRICT,,1
Gujarat,SABARKANTHA,DISTRICT,,1
Gujarat,SURAT,DISTRICT,,1
Gujarat,SURENDRANAGAR,DISTRICT,,1
Gujarat,TAPI,DISTRICT,,1
Gujarat,VADODARA,DISTRICT,,1
Gujarat,VALSAD,DISTRICT,,1
Gujarat,VERAVAL,DISTRICT,,1
Himachal Pradesh,BILASPUR,DISTRICT,,1
Himachal Pradesh,CHAMBA,DISTRICT,,1
Himachal Pradesh,HAMIRPUR,DISTRICT,,1
Himachal Pradesh,KANGRA,DISTRICT,,1
Himachal Pradesh,KINNAUR,DISTRICT,,1
Himachal Pradesh,KULLU,DISTRICT,,1
Himachal Pradesh,LAHAUL AND SPITI,DISTRICT,,1
Himachal Pradesh,MANDI,DISTRICT,,1
Himachal Pradesh,SHIMLA,DISTRICT,,1
Himachal Pradesh,SIRMAUR,DISTRICT,,1
Himachal Pradesh,SOLAN,DISTRICT,,1
Himachal Pradesh,UNA,DISTRICT,,1
Haryana,AMBALA,DISTRICT,,1
Haryana,BHIWANI,DISTRICT,,1
Haryana,FARIDABAD,DISTRICT,,1
Haryana,FATEHABAD,DISTRICT,,1
Haryana,GURGAON,DISTRICT,,1
Haryana,HISAR,DISTRICT,,1
Haryana,JHAJJAR,DISTRICT,,1
Haryana,JIND,DISTRICT,,1
Haryana,KAITHAL,DISTRICT,,1
Haryana,KARNAL,DISTRICT,,1
Haryana,KURUKSHETRA,DISTRICT,,1
Haryana,MAHENDRAGARH,DISTRICT,,1
Haryana,MEWAT,DISTRICT,,1
Haryana,PALWAL,DISTRICT,,1
Haryana,PANCHKULA,DISTRICT,,1
Haryana,PANIPAT,DISTRICT,,1
Haryana,REWARI,DISTRICT,,1
Haryana,ROHTAK,DISTRICT,,1
Haryana,SIRSA,DISTRICT,,1
Haryana,SONIPAT,DISTRICT,,1
Haryana,YAMUNANAGAR,DISTRICT,,1
Jharkhand,BOKARO,DISTRICT,,1
Jharkhand,CHATRA,DISTRICT,,1
Jharkhand,DEOGHAR,DISTRICT,,1
Jharkhand,DHANBAD,DISTRICT,,1
Jharkhand,DUMKA,DISTRICT,,1
Jharkhand,EAST SINGHBHUM,DISTRICT,,1
Jharkhand,GARHWA,DISTRICT,,1
Jharkhand,GIRIDIH,DISTRICT,,1
Jharkhand,GODDA,DISTRICT,,1
Jharkhand,GUMLA,DISTRICT,,1
Jharkhand,HAZARIBAGH,DISTRICT,,1
Jharkhand,JAMTARA,DISTRICT,,1
Jharkhand,KHUNTI,DISTRICT,,1
Jharkhand,KODERMA,DISTRICT,,1
Jharkhand,LATEHAR,DISTRICT,,1
Jharkhand,LOHARDAGA,DISTRICT,,1
Jharkhand,PAKUR,DISTRICT,,1
Jharkhand,PALAMU,DISTRICT,,1
Jharkhand,RAMGARH,DISTRICT,,1
Jharkhand,RANCHI,DISTRICT,,1
Jharkhand,SAHEBGANJ,DISTRICT,,1
Jharkhand,SARAIKELA KHARSAWAN,DISTRICT,,1
Jharkhand,SIMDEGA,DISTRICT,,1
Jharkhand,WEST SINGHBHUM,DISTRICT,,1
JAMMU UND KASHMIR,ANANTNAG,DISTRICT,,1
JAMMU UND KASHMIR,BANDIPORA,DISTRICT,,1
JAMMU UND KASHMIR,BARAMULLA,DISTRICT,,1
JAMMU UND KASHMIR,BUDGAM,DISTRICT,,1
JAMMU UND KASHMIR,DODA,DISTRICT,,1
JAMMU UND KASHMIR,GANDERBAL,DISTRICT,,1
JAMMU UND KASHMIR,JAMMU,DISTRICT,,1
JAMMU UND KASHMIR,KARGIL,DISTRICT,,1
JAMMU UND KASHMIR,KATHUA,DISTRICT,,1
JAMMU UND KASHMIR,KISHTWAR,DISTRICT,,1
JAMMU UND KASHMIR,KULGAM,DISTRICT,,1
JAMMU UND KASHMIR,KUPWARA,DISTRICT,,1
JAMMU UND KASHMIR,LEH,DISTRICT,,1
JAMMU UND KASHMIR,POONCH,DISTRICT,,1
JAMMU UND KASHMIR,PULWAMA,DISTRICT,,1
JAMMU UND KASHMIR,RAJOURI,DISTRICT,,1
JAMMU UND KASHMIR,RAMBAN,DISTRICT,,1
JAMMU UND KASHMIR,REASI,DISTRICT,,1
JAMMU UND KASHMIR,SAMBA,DISTRICT,,1
JAMMU UND KASHMIR,SHOPIAN,DISTRICT,,1
JAMMU UND KASHMIR,SRINAGAR,DISTRICT,,1
JAMMU UND KASHMIR,UDHAMPUR,DISTRICT,,1
Karnataka,BAGALKOT,DISTRICT,,1
Karnataka,BELAGAVI,DISTRICT,,1
Karnataka,BELLARY,DISTRICT,,1
Karnataka,BENGALURU RURAL,DISTRICT,,1
Karnataka,BENGALURU URBAN,DISTRICT,,1
Karnataka,BIDAR,DISTRICT,,1
Karnataka,CHAMARAJANAGAR,DISTRICT,,1
Karnataka,CHIKBALLAPUR,DISTRICT,,1
Karnataka,CHIKKAMAGALURU,DISTRICT,,1
Karnataka,CHITRADURGA,DISTRICT,,1
Karnataka,DAKSHINA KANNADA,DISTRICT,,1
Karnataka,DAVANAGERE,DISTRICT,,1
Karnataka,DHARWAD,DISTRICT,,1
Karnataka,GADAG,DISTRICT,,1
Karnataka,HASSAN,DISTRICT,,1
Karnataka,HAVERI,DISTRICT,,1
Karnataka,KALABURAGI,DISTRICT,,1
Karnataka,KODAGU,DISTRICT,,1
Karnataka,KOLAR,DISTRICT,,1
Karnataka,KOPPAL,DISTRICT,,1
Karnataka,MANDYA,DISTRICT,,1
Karnataka,MYSURU,DISTRICT,,1
Karnataka,RAICHUR,DISTRICT,,1
Karnataka,RAMANAGARA,DISTRICT,,1
Karnataka,SHIVAMOGGA,DISTRICT,,1
Karnataka,TUMAKURU,DISTRICT,,1
Karnataka,UDUPI,DISTRICT,,1
Karnataka,UTTARA KANNADA,DISTRICT,,1
Karnataka,VIJAYAPURA,DISTRICT,,1
Karnataka,YADGIR,DISTRICT,,1
Kerala,ALAPPUZHA,DISTRICT,,1
Kerala,ERNAKULAM,DISTRICT,,1
Kerala,IDUKKI,DISTRICT,,1
Kerala,KANNUR,DISTRICT,,1
Kerala,KASARAGOD,DISTRICT,,1
Kerala,KOLLAM,DISTRICT,,1
Kerala,KOTTAYAM,DISTRICT,,1
Kerala,KOZHIKODE,DISTRICT,,1
Kerala,MALAPPURAM,DISTRICT,,1
Kerala,PALAKKAD,DISTRICT,,1
Kerala,PATHANAMTHITTA,DISTRICT,,1
Kerala,THIRUVANANTHAPURAM,DISTRICT,,1
Kerala,THRISSUR,DISTRICT,,1
Kerala,WAYANAD,DISTRICT,,1
Lakshadweep,LAKSHADWEEP,DISTRICT,,1
Maharashtra,AKOLA,DISTRICT,,1
Maharashtra,AMRAVATI,DISTRICT,,1
Maharashtra,AURANGABAD,DISTRICT,,1
Maharashtra,BEED,DISTRICT,,1
Maharashtra,BHANDARA,DISTRICT,,1
Maharashtra,BULDANA,DISTRICT,,1
Maharashtra,CHANDRAPUR,DISTRICT,,1
Maharashtra,DARBHA,DISTRICT,,1
Maharashtra,DHULE,DISTRICT,,1
Maharashtra,GADCHIROLI,DISTRICT,,1
Maharashtra,GONDIA,DISTRICT,,1
Maharashtra,HINGOLI,DISTRICT,,1
Maharashtra,JALGAON,DISTRICT,,1
Maharashtra,JALNA,DISTRICT,,1
Maharashtra,KOLHAPUR,DISTRICT,,1
Maharashtra,LATUR,DISTRICT,,1
Maharashtra,MUMBAI,DISTRICT,,1
Maharashtra,MUMBAI,DISTRICT,,1
Maharashtra,NAGPUR,DISTRICT,,1
Maharashtra,NANDED,DISTRICT,,1
Maharashtra,NANDURBAR,DISTRICT,,1
Maharashtra,NASHIK,DISTRICT,,1
Maharashtra,OSMANABAD,DISTRICT,,1
Maharashtra,PALGHAR,DISTRICT,,1
Maharashtra,PARBHANI,DISTRICT,,1
Maharashtra,PUNE,DISTRICT,,1
Maharashtra,RAIGAD,DISTRICT,,1
Maharashtra,RATNAGIRI,DISTRICT,,1
Maharashtra,SANGLI,DISTRICT,,1
Maharashtra,SATARA,DISTRICT,,1
Maharashtra,SINDHUDURG,DISTRICT,,1
Maharashtra,SOLAPUR,DISTRICT,,1
Maharashtra,THANE,DISTRICT,,1
Maharashtra,WARDHA,DISTRICT,,1
Maharashtra,WASHIM,DISTRICT,,1
Maharashtra,YAVATMAL,DISTRICT,,1
MEGALAYA,EAST GARO HILLS (WILLIAMNAGAR),DISTRICT,,1
MEGALAYA,EAST JAINTIA HILLS (KHLIEHRIAT),DISTRICT,,1
MEGALAYA,EAST KHASI HILLS (SHILLONG),DISTRICT,,1
MEGALAYA,NORTH GARO HILLS (RESUBELPARA),DISTRICT,,1
MEGALAYA,RI-BHOI (NONGPOH),DISTRICT,,1
MEGALAYA,SOUTH GARO HILLS (BAGHMARA),DISTRICT,,1
MEGALAYA,SOUTH WEST GARO HILLS (AMPATI),DISTRICT,,1
MEGALAYA,SOUTH WEST KHASI HILLS (MAWKYRWAT),DISTRICT,,1
MEGALAYA,WEST GARO HILLS (TURA),DISTRICT,,1
MEGALAYA,WEST JAINTIA HILLS (JOWAI),DISTRICT,,1
MEGALAYA,WEST KHASI HILLS (NONGSTOIN),DISTRICT,,1
Manipur,BISHNUPUR,DISTRICT,,1
Manipur,CHANDEL,DISTRICT,,1
Manipur,CHURACHANDPUR,DISTRICT,,1
Manipur,IMPHAL EAST,DISTRICT,,1
Manipur,IMPHAL WEST,DISTRICT,,1
Manipur,SENAPATI,DISTRICT,,1
Manipur,TAMENGLONG,DISTRICT,,1
Manipur,THOUBAL,DISTRICT,,1
Manipur,UKHRUL,DISTRICT,,1
Madhya Pradesh,AGAR MALWA,DISTRICT,,1
Madhya Pradesh,ALIRAJPUR ,DISTRICT,,1
Madhya Pradesh,ANUPPUR,DISTRICT,,1
Madhya Pradesh,ASHOKNAGAR ,DISTRICT,,1
Madhya Pradesh,BALAGHAT,DISTRICT,,1
Madhya Pradesh,BARWANI,DISTRICT,,1
Madhya Pradesh,BETUL,DISTRICT,,1
Madhya Pradesh,BHIND ,DISTRICT,,1
Madhya Pradesh,BHOPAL ,DISTRICT,,1
Madhya Pradesh,BURHANPUR,DISTRICT,,1
Madhya Pradesh,CHHATARPUR ,DISTRICT,,1
Madhya Pradesh,CHHINDWARA,DISTRICT,,1
Madhya Pradesh,DAMOH,DISTRICT,,1
Madhya Pradesh,DATIA,DISTRICT,,1
Madhya Pradesh,DEWAS ,DISTRICT,,1
Madhya Pradesh,DHAR,DISTRICT,,1
Madhya Pradesh,DINDORI,DISTRICT,,1
Madhya Pradesh,GUNA,DISTRICT,,1
Madhya Pradesh,GWALIOR ,DISTRICT,,1
Madhya Pradesh,HARDA,DISTRICT,,1
Madhya Pradesh,HOSHANGABAD,DISTRICT,,1
Madhya Pradesh,INDORE,DISTRICT,,1
Madhya Pradesh,JABALPUR,DISTRICT,,1
Madhya Pradesh,JHABUA,DISTRICT,,1
Madhya Pradesh,KATNI,DISTRICT,,1
Madhya Pradesh,KHANDWA ,DISTRICT,,1
Madhya Pradesh,KHARGONE,DISTRICT,,1
Madhya Pradesh,MANDLA,DISTRICT,,1
Madhya Pradesh,MANDSAUR ,DISTRICT,,1
Madhya Pradesh,MORENA,DISTRICT,,1
Madhya Pradesh,NARSINGHPUR,DISTRICT,,1
Madhya Pradesh,NEEMUCH,DISTRICT,,1
Madhya Pradesh,PANNA,DISTRICT,,1
Madhya Pradesh,RAISEN,DISTRICT,,1
Madhya Pradesh,RAJGARH,DISTRICT,,1
Madhya Pradesh,RATLAM,DISTRICT,,1
Madhya Pradesh,REWA,DISTRICT,,1
Madhya Pradesh,SAGAR,DISTRICT,,1
Madhya Pradesh,SATNA,DISTRICT,,1
Madhya Pradesh,SEHORE,DISTRICT,,1
Madhya Pradesh,SEONI,DISTRICT,,1
Madhya Pradesh,SHAHDOL,DISTRICT,,1
Madhya Pradesh,SHAJAPUR,DISTRICT,,1
Madhya Pradesh,SHEOPUR,DISTRICT,,1
Madhya Pradesh,SHIVPURI,DISTRICT,,1
Madhya Pradesh,SIDHI,DISTRICT,,1
Madhya Pradesh,SINGRAULI,DISTRICT,,1
Madhya Pradesh,TIKAMGARH ,DISTRICT,,1
Madhya Pradesh,UJJAIN ,DISTRICT,,1
Madhya Pradesh,UMARIA,DISTRICT,,1
Madhya Pradesh,VIDISHA,DISTRICT,,1
Mizoram,AIZAWL,DISTRICT,,1
Mizoram,CHAMPHAI,DISTRICT,,1
Mizoram,KOLASIB,DISTRICT,,1
Mizoram,LAWNGTLAI,DISTRICT,,1
Mizoram,LUNGLEI,DISTRICT,,1
Mizoram,MAMIT,DISTRICT,,1
Mizoram,SAIHA,DISTRICT,,1
Mizoram,SERCHHIP,DISTRICT,,1
Nagaland,DIMAPUR,DISTRICT,,1
Nagaland,KIPHIRE,DISTRICT,,1
Nagaland,KOHIMA,DISTRICT,,1
Nagaland,LONGLENG,DISTRICT,,1
Nagaland,MOKOKCHUNG,DISTRICT,,1
Nagaland,MON,DISTRICT,,1
Nagaland,PEREN,DISTRICT,,1
Nagaland,PHEK,DISTRICT,,1
Nagaland,TUENSANG,DISTRICT,,1
Nagaland,WOKHA,DISTRICT,,1
Nagaland,ZUNHEBOTO,DISTRICT,,1
Orissa,ANGUL,DISTRICT,,1
Orissa,BALANGIR,DISTRICT,,1
Orissa,BALASORE,DISTRICT,,1
Orissa,BARGARH,DISTRICT,,1
Orissa,BHADRAK,DISTRICT,,1
Orissa,BOUDH,DISTRICT,,1
Orissa,CUTTACK,DISTRICT,,1
Orissa,DEOGARH,DISTRICT,,1
Orissa,DHENKANAL,DISTRICT,,1
Orissa,GAJAPATI,DISTRICT,,1
Orissa,GANJAM,DISTRICT,,1
Orissa,JAGATSINGHAPUR,DISTRICT,,1
Orissa,JAJPUR,DISTRICT,,1
Orissa,JHARSUGUDA,DISTRICT,,1
Orissa,KALAHANDI,DISTRICT,,1
Orissa,KANDHAMAL,DISTRICT,,1
Orissa,KENDRAPARA,DISTRICT,,1
Orissa,KENDUJHAR (KEONJHAR),DISTRICT,,1
Orissa,KHORDHA,DISTRICT,,1
Orissa,KORAPUT,DISTRICT,,1
Orissa,MALKANGIRI,DISTRICT,,1
Orissa,MAYURBHANJ,DISTRICT,,1
Orissa,NABARANGPUR,DISTRICT,,1
Orissa,NAYAGARH,DISTRICT,,1
Orissa,NUAPADA,DISTRICT,,1
Orissa,PURI,DISTRICT,,1
Orissa,RAYAGADA,DISTRICT,,1
Orissa,SAMBALPUR,DISTRICT,,1
Orissa,SONEPUR,DISTRICT,,1
Orissa,SUNDARGARH,DISTRICT,,1
Punjab,AJITGARH,DISTRICT,,1
Punjab,AMRITSAR,DISTRICT,,1
Punjab,BARNALA,DISTRICT,,1
Punjab,BATHINDA,DISTRICT,,1
Punjab,FARIDKOT,DISTRICT,,1
Punjab,FATEHGARHSAHIB,DISTRICT,,1
Punjab,FAZILKA,DISTRICT,,1
Punjab,FIROZPUR,DISTRICT,,1
Punjab,GURDASPUR,DISTRICT,,1
Punjab,HOSHIARPUR,DISTRICT,,1
Punjab,JALANDHAR,DISTRICT,,1
Punjab,KAPURTHALA,DISTRICT,,1
Punjab,LUDHIANA,DISTRICT,,1
Punjab,MANSA,DISTRICT,,1
Punjab,MOGA,DISTRICT,,1
Punjab,MUKTSAR,DISTRICT,,1
Punjab,NAWANSHAHR,DISTRICT,,1
Punjab,PATHANKOT,DISTRICT,,1
Punjab,PATIALA,DISTRICT,,1
Punjab,ROPAR,DISTRICT,,1
Punjab,SANGRUR,DISTRICT,,1
Punjab,TARNTARAN,DISTRICT,,1
Pondicherry,KARAIKAL,DISTRICT,,1
Pondicherry,MAHE,DISTRICT,,1
Pondicherry,PONDICHERRY,DISTRICT,,1
Pondicherry,YANAM,DISTRICT,,1
Rajasthan,AJMER,DISTRICT,,1
Rajasthan,ALWAR,DISTRICT,,1
Rajasthan,BANSWARA,DISTRICT,,1
Rajasthan,BARAN,DISTRICT,,1
Rajasthan,BARMER,DISTRICT,,1
Rajasthan,BHARATPUR,DISTRICT,,1
Rajasthan,BHILWARA,DISTRICT,,1
Rajasthan,BIKANER,DISTRICT,,1
Rajasthan,BUNDI,DISTRICT,,1
Rajasthan,CHITTORGARH,DISTRICT,,1
Rajasthan,CHURU,DISTRICT,,1
Rajasthan,DAUSA,DISTRICT,,1
Rajasthan,DHOLPUR,DISTRICT,,1
Rajasthan,DUNGARPUR,DISTRICT,,1
Rajasthan,HANUMANGARH,DISTRICT,,1
Rajasthan,JAIPUR,DISTRICT,,1
Rajasthan,JAISALMER,DISTRICT,,1
Rajasthan,JALOR,DISTRICT,,1
Rajasthan,JHALAWAR,DISTRICT,,1
Rajasthan,JHUNJHUNU,DISTRICT,,1
Rajasthan,JODHPUR,DISTRICT,,1
Rajasthan,KARAULI,DISTRICT,,1
Rajasthan,KOTA,DISTRICT,,1
Rajasthan,NAGAUR,DISTRICT,,1
Rajasthan,PALI,DISTRICT,,1
Rajasthan,PRATAPGARH[2],DISTRICT,,1
Rajasthan,RAJSAMAND,DISTRICT,,1
Rajasthan,SAWAI MADHOPUR,DISTRICT,,1
Rajasthan,SIKAR,DISTRICT,,1
Rajasthan,SIROHI,DISTRICT,,1
Rajasthan,SRI GANGANAGAR,DISTRICT,,1
Rajasthan,TONK,DISTRICT,,1
Rajasthan,UDAIPUR,DISTRICT,,1
Sikkim,EAST SIKKIM,DISTRICT,,1
Sikkim,NORTH SIKKIM,DISTRICT,,1
Sikkim,SOUTH SIKKIM,DISTRICT,,1
Sikkim,WEST SIKKIM,DISTRICT,,1
TELENGANA,ADILABAD,DISTRICT,,1
TELENGANA,HYDERABAD,DISTRICT,,1
TELENGANA,KARIMNAGAR,DISTRICT,,1
TELENGANA,KHAMMAM,DISTRICT,,1
TELENGANA,MAHBOOBNAGAR,DISTRICT,,1
TELENGANA,MEDAK,DISTRICT,,1
TELENGANA,NALGONDA,DISTRICT,,1
TELENGANA,NIZAMABAD,DISTRICT,,1
TELENGANA,RANGA REDDY,DISTRICT,,1
TELENGANA,WARANGAL,DISTRICT,,1
Tamil Nadu,ARIYALUR,DISTRICT,,1
Tamil Nadu,CHENNAI,DISTRICT,,1
Tamil Nadu,COIMBATORE,DISTRICT,,1
Tamil Nadu,CUDDALORE,DISTRICT,,1
Tamil Nadu,DHARMAPURI,DISTRICT,,1
Tamil Nadu,DINDIGUL,DISTRICT,,1
Tamil Nadu,ERODE,DISTRICT,,1
Tamil Nadu,KANCHIPURAM,DISTRICT,,1
Tamil Nadu,KANYAKUMARI,DISTRICT,,1
Tamil Nadu,KARUR,DISTRICT,,1
Tamil Nadu,KRISHNAGIRI,DISTRICT,,1
Tamil Nadu,MADURAI,DISTRICT,,1
Tamil Nadu,NAGAPATTINAM,DISTRICT,,1
Tamil Nadu,NAMAKKAL,DISTRICT,,1
Tamil Nadu,NILGIRIS,DISTRICT,,1
Tamil Nadu,PERAMBALUR,DISTRICT,,1
Tamil Nadu,PUDUKKOTTAI,DISTRICT,,1
Tamil Nadu,RAMANATHAPURAM,DISTRICT,,1
Tamil Nadu,SALEM,DISTRICT,,1
