DocId*,DistributorSynchid*,PostingDate*,Narration,Amount,crAmount,DrAmount,CompanyCode,Entry No_
BRV-APR18-1170,C0015170,27/04/2018,RATAN TRADERS,-278000,278000,0,,2073757
BRV-APR18-1171,C0011610,27/04/2018,SHARTHAK TRADERS,-600000,600000,0,,2073759
BRV-APR18-1172,C0009870,27/04/2018,SHASHANK TRADERS,-901000,901000,0,,2073761
BRV-APR18-1173,C0014580,27/04/2018,SHUKLA AGENCIES,-100000,100000,0,,2073763
BRV-APR18-1174,C0002120,27/04/2018,S.K. ENTERPRISES,-1200000,1200000,0,,2073765
BRV-APR18-1175,C0002630,27/04/2018,SUNIL KIRANA BHANDAR,-1200000,1200000,0,,2073767
BRV-APR18-1176,C0013610,27/04/2018,anand tr.-gopalganj,-400000,400000,0,,2073769
BRV-APR18-1177,C0002510,27/04/2018,SRI GUPTA AGENCIES,-600000,600000,0,,2073771
BRV-APR18-1178,C0000980,27/04/2018,JUHI AGENCIES,-100000,100000,0,,2073773
BRV-APR18-1179,C0016520,27/04/2018,MASTER KIRANA STORE,-150000,150000,0,,2073775
BRV-APR18-1180,C0008220,27/04/2018,KASAUDHAN TRADERS,-500000,500000,0,,2073777
BRV-APR18-1181,C0014240,27/04/2018,BANSAL AGENCY,-15000,15000,0,,2073779
BRV-APR18-1182,C0000920,27/04/2018,JAISRAJ MALARAM,-300000,300000,0,,2073781
BRV-APR18-1183,C0014240,27/04/2018,BANSAL AGENCY,-135000,135000,0,,2073783
BRV-APR18-1184,C0000120,27/04/2018,AGARWAL TRADERS,-450000,450000,0,,2073785
BRV-APR18-1185,C0014840,27/04/2018,DINESH TRADERS,-90000,90000,0,,2073787
BRV-APR18-1186,C0002470,27/04/2018,SINGHAL ENTERPRISES,-800000,800000,0,,2073789
BRV-APR18-1187,C0000740,27/04/2018,GOVIND BHANDAR,-1000000,1000000,0,,2073791
BRV-APR18-1188,C0000650,27/04/2018,GANESH AGENCIES,-150000,150000,0,,2073793
BRV-APR18-1189,G0000310,27/04/2018,POOJA AGENCIES,-150000,150000,0,,2073795
BRV-APR18-1190,C0013200,27/04/2018,SHUBHAM ENTERPRISES,-800000,800000,0,,2073797
BRV-APR18-1191,C0001550,27/04/2018,NARESH AGENCIES,-500000,500000,0,,2073799
BRV-APR18-1192,C0014060,27/04/2018,AMAN TRADERS,-250000,250000,0,,2073801
BRV-APR18-1193,C0001840,27/04/2018,R.P.TRADERS,-250000,250000,0,,2073803
BRV-APR18-1194,C0001710,27/04/2018,PANKAJ TRADERS,-300000,300000,0,,2073805
BRV-APR18-1195,C0001840,27/04/2018,R.P.TRADERS,-600000,600000,0,,2073807
BRV-APR18-1196,C0013580,27/04/2018,MAHAK TRADERS,-200000,200000,0,,2073809
BRV-APR18-1197,C0000820,27/04/2018,GUPTA JEE TRADERS,-150000,150000,0,,2073811
BRV-APR18-1198,C0002610,27/04/2018,STAR ENTERPRISES,-980000,980000,0,,2073813
BRV-APR18-1199,C0016800,27/04/2018,KANHA ENTERPRISES,-1200000,1200000,0,,2073815
BRV-APR18-1200,C0015020,27/04/2018,maa gayatri-sahrsa,-100000,100000,0,,2073817
BRV-APR18-1201,C0009780,27/04/2018,GUNJAN ENTERPRISES,-300000,300000,0,,2073819
BRV-APR18-1202,C0016430,27/04/2018,ANKIT KIRANA STORES,-100000,100000,0,,2073821
BRV-APR18-1203,C0016920,27/04/2018,ANIL BAKERY STORES,-300000,300000,0,,2073823
BRV-APR18-1204,C0015590,27/04/2018,SHUKLA TRADERS,-350000,350000,0,,2073825
BRV-APR18-1205,C0014010,27/04/2018,SATYAM TRADERS ,-300000,300000,0,,2073827
WG-ST-18-0110,C0000840,28/04/2018,Invoice WG-ST-18-0110,482687.5,0,482687.5,,2073836
WG-ST-18-0111,C0000840,28/04/2018,Invoice WG-ST-18-0111,482687.5,0,482687.5,,2073845
WG-ST-18-0112,C0000200,28/04/2018,Invoice WG-ST-18-0112,479687.5,0,479687.5,,2073850
SG-ST-18-01498,C0000550,28/04/2018,Invoice SG-ST-18-01450,7877.05,0,7877.05,,2073864
SG-ST-18-01499,C0017330,28/04/2018,Invoice SG-ST-18-01451,29108.48,0,29108.48,,2073903
